Sr. no. ,Song Title ,Movie,Year of release,Music director,Song type,Singer type,Singers
1,Aachal ke tuze,Door gagan ki Chhao mein,1964,Kishor Kumar,solo,Male,Kishor Kumar
2,AA Dekhe jara ,Rocky,1981,R D Barman,Duet,Male&Female,Kishor Kumar & Asha Bhosale
3,Aadmi jo kaheta Hai,Majboor,1974,lakshmikant Pyarelal,solo,Male,Kishor Kumar
4,Aai Khuda Har faisala tera Muze Manjur hai,Abdullah,1980,R D Barman,solo,Male,Kishor Kumar
5,Aaiye Shauk se Kahiye,Parvarish,1977,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar & Asha Bhosale
6,Aaj ka ye din,Nastik,1983,kalyanji Anandji,solo,Male,Kishor Kumar
7,Aaj Madhosh Hua Jaye re,Sharmili,1971,S D barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
8,Aaj na chhodenge ,Kati patang,1970,R D Barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
9,Aaj Rapat jaye to hame na uthaiyo,Namak Halal,1982,Bappi Lahiri,Duet,Male&Female,Kishor Kumar & Asha Bhosale
10,Aake seedhi lagi dilpe jaise,Half Ticket,1962,Salil Chowdhary,solo,Male,Kishor Kumar
11,Aane wala pal jane wala hai,Golamal,1979,R D Barman,solo,Male,Kishor Kumar
12,Aankho Aankho me bat hone do,Aankho Aankho me ,1972,Shankar Jaikisan,Duet,Male&Female,Kishor Kumar & Asha Bhosale
13,Aapke kamare me koi,Yadon ki barat,1973,R D Barman,Duet,Male&Female,Kishor Kumar & Asha Bhosale& R D Barman
14,Aap ki Aankhon me kuch,ghar,1978,R D Barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
15,Aap yahan aaye kisliye,kal aaj aur kal,1971,Shankar Jaikisan,Duet,Male or Female,Kishor Kumar & Asha Bhosale
16,Aap ke anurodh pe mai ye git,Anurodh,1977,Lakshmikant Pyarelal,solo,male,Kishor Kumar
17,Aashiq hoon Baharon ka,Aashiq hoon Baharon ka,1977,lakshmikant Pyarelal,solo,male,Kishor Kumar
18,Aasaman ke neeche,Jewel Thief,1967,S D barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
19,Aate jate Khoob Surat Aawara,Anurodh,1977,lakshmikant Pyarelal,solo,male,Kishor Kumar
20,Aati rahengi baharen,kasme Wade,1978,R D Barman,Duet,Male&Female,Amit Kumar&Asha Bhosale&Kishor Kumar
21,Aaye tum Yad muze,Mili,1975,S D barman,solo,male,Kishor Kumar
22,Ab chahe maruthe ya baba,Dag,1973,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
23,Abke sawan mein Jee dare,jaise ki taisa,1973,R D Barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
24,Achha to hum chalte hain,Aan Milo Sajana,1970,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
25,Ae mera dil mat kar kisipe aitbaar,Albela,1971,Shankar Jaikisan,solo,male,Kishor Kumar
26,Agar saj chheda,Jawani Diwani,1972,R D Barman,Duet,Male&Female,Kishor Kumar & Asha Bhosale
27,Agar Tum na Hote,Agar Tum na Hote,1983,R D Barman,solo,male,Kishor Kumar
28,Choo kar mere Mann Ko ,yarana,1981,Rajesh Roshan,solo,male,Kishor Kumar
29,Aise na muze tum dekho,Darling Darling,1977,R D Barman,solo,male,Kishor Kumar
30,Ajanabi tum jane pahechane se lagate ho,Hum Sab Ustad Hai,1965,lakshmikant Pyarelal,solo,male,Kishor Kumar
31,Albela Mausam Kaheta hai Swagatam,Tohfa,1984,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
32,Allha megh de pani de,Palkonki chhav mein,1977,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar & Asha Bhosale
33,Amar Akbar Anthony,Amar Akbar Anthony,1977,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Mahendra Kapoor&Shailedra Singh
34,Amitabh nahi hoon,Chhota Admi,1986,"Mahesh, Naresh",solo,male,Kishor Kumar
35,Andheri raaton mein,shahenshah,1988,Utpal Biswas/Amar Biswas,solo,male,Kishor Kumar
36,Aakhon mein kya ji,Nau Do Gyarah,1957,S D barman,Duet,Male&Female,Kishor Kumar & Asha Bhosale
37,Apne Jivan Ki uljhan ko,Uljhan,1975,kalyanji Anandji,solo,male,Kishor Kumar
38,Apni to jaise Taise,lawaris,1981,kalyanji Anandji,solo,male,Kishor Kumar
39,Are Diwano Muze pahechano,Don,1978,kalyanji Anandji,solo,male,Kishor Kumar
40,Babu samjho Eshare,Chalti ka Nam Gadi,1958,S D barman,Duet,Male&Female,Kishor Kumar&Manna Dey
41,bachake rahana re baba,Pukar,1983,R D Barman,Duet,Male&Female,Kishor kumar&Asha Bhosale& R D barman
42,Bachana Ae Hasino lo main aa gaya,Hum Kisise kam nahi,1977,R D Barman,solo,male,Kishor Kumar
43,Bachapan har Gum se Begana Hota Hai,Geet Gaata Chal,1975,Ravindra Jain,solo,male,Kishor Kumar
44,Bheegi Bheegi raton mein,Ajanabee,1974,R D Barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
45,Bhole O Bhole,yarana,1981,Rajesh Roshan,solo,male,Kishor Kumar
46,Bam chike Chike Cham Chike Chike,Kahate hain Mujhako Raja,1975,R D Barman,solo,male,Kishor Kumar
47,Bani Rahe Jodi Raja Rani Ki ,Khoon Pasina,1977,kalyanji Anandji,solo,male,Kishor Kumar
48,Baraso Purana ye Yaarana,Hera Pheri,1976,kalyanji Anandji,solo,male,Kishor Kumar
49,Beqarare Dil Tu Gaye Ja,Door Ka Rahi,1971,Kishor Kumar,Duet,Male&Female,Kishor Kumar& Sulakshana Pandit
50,Bhanvare Ki Gunjan,kal aaj aur kal,1971,Shankar Jaikisan,solo,male,Kishor Kumar
51,Bap Ki kasam,Mawali,1983,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale
52,Badi Sooni Sooni hai,Mili,1975,R D Barman,Solo,Male ,Kishor Kumar 
53,Bahoot Khoobsurat Jawan Ek Ladki,Dostana,1980,Laxmikant Pyarelal,Solo,male,Kishor Kumar 
54,Bahut Door Mujhe Chale Jaana Hai,Heera Panna,1973,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
55,Baith Ja Khadi Ho Ja,Amir Garib,1974,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
56,Ban Gaya Buddha Sharabi,Aap Beati,1976,Laxmikant Pyarelal,Duet,Male,Kishor Kumar& Manna Dey
57,Band Mutthi Lakh Ki,Chalti Ka Nam Jindagi,1982,Kishor Kumar,Duet,Male,Kishor Kumar& Manna Dey& Rafi
58,Barah Baje Ki Suiyon Jaise,Jhoota Kahi Ka,1979,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
59,Bhaiya Re Bhaiya Re,Jaise Ko Taisa,1973,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
60,Bhali Bhali Si Ek Surat,Buddha Mil Gaya,1971,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
61,Bheegi Bheegi Aankhen,Ishk Ishk Ishk,1974,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
62,Bol Meri Gudiya,Bhai Ho to Aisa,1972,Sonik Omi,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
63,Bombai Shahar Ki,Piya Ka Ghar,1972,Laxmikant Pyarelal,Solo,Male ,Kishor Kumar 
64,Bye Bye Miss Good Night,Premnagar,1974,S D Barman,Solo,Male ,Kishor Kumar 
65,C A T Cat Mane Billi,Dilli Ka Thag,1958,Ravi,Duet,Male& Female,Kishor Kumar&Asha Bhosale
66,Chahe Koi Khush Ho,Taxi Driver,1954,S D Barman,Solo,Male,Kishor Kumar &  Corus
67,Chahe Raho Door Chahe Raho Paas,Do Chor,1972,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
68,Chahiye Thoda Pyaar,Lahuke Do Rang,1979,Bappi Lahiri,Solo,Male ,Kishor Kumar 
69,Chal Dariya Mein Doob Jayen,Prem Kahani,1975,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
70,Chal Kahin Door Nikal Jaayein,Doosara Aadmi,1977,Rajesh Roshan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar&Rafi
71,Chal Shuru Ho Ja,Hamjoli,1970,Laxmikant Pyarelal,Duet,Male,Kishor Kumar& Rafi
72,Chala Jata Hoon,Mere Jivan Sathi,1972,R D Barman,Solo,Male ,Kishor Kumar 
73,Chali Re Chali Gori,Mr. X In Bombay,1964,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
74,Chalte Chalte,Chalte Chalte,1976,Bappi Lahiri,Solo,Male ,Kishor Kumar 
75,Chalti Ka Naam Zindagi ,Chalti Ka Naam Zindagi ,1982,Kishor Kumar,Duet,Male,Kishor Kumar& Mahedra kapur
76,Chand Chra Ke Laya Hoon,Devata ,1978,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
77,Chand Chal Tu Zara Dheeme,Who Jo Haseena,1983,Ramlaxamna,Solo,Male ,Kishor Kumar 
78,Chand Raat Tum Ho,Half Ticket,1962,Salil Chaudhari,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
79,Chand Roz Aur Meri Jaan,Sitamgar,1985,R D Barman,Solo,Male ,Kishor Kumar 
80,Chanda O Chanda ,Lakhon Mein Ek,1971,R D Barman,Duet,Male& Female,Kishor Kumar
81,Chandni Chand Se Hoti Hai,Aaj Ka Mahatma,1976,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar&Asha Bhosale
82,Chandni Raat Mein,Dil-E-Nadaan,1981,Mohammad Zahur Khayyam,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
83,Chandni Raat Yeh Sanam,Quidi,1984,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale
84,Chandni Tu Hai Kahan,Faasale,1985,Shiv Hari,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
85,Chapper Phad Ke Deta,Funtoosh,1956,S D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
86,Charu Chandra Ki Chanchal Chitwan,Man Pasand,1980,Rajesh Roshan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
87,Come Near,Do Gulab,1983,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale
88,Chhai Ghata Bijli Kadki,Apana Haath Jagannath,1960,S D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
89,Chhalkao Jhoomke Paimana,Fir Wahi Rat,1980,R D Barman,Solo,Male ,Kishor Kumar 
90,Chhatri Na Khol Ud Jayegi,Do Jhoot,1975,Shankar Jaikishan,Duet,Male& Female,Kishor Kumar& Usha Mangeshkar
91,Chhedo Na Meri Zulfen,Ganga Ki Laharen,1964,Chandragupt,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
92,Dil Aaj Shayar Hai,Gambler,1971,S D Barman,Solo,Male,Kishor Kumar 
93,Chhod Do Aanchal Zamana,Paying Gueat,1957,S D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
94,Chhodo Sanam,Kudrat,1981,R D Barman,Duet,Male& Female,Kishor Kumar& Annette Pinto
95,Chhoti Si Yeh Duniya ,Rangoli,1961,Shankar Jaikishan,Solo,Male ,Kishor Kumar 
96,Chhoti Umar Me,Aakraman,1975,Laxmikant Pyarelal,Solo,Male ,Kishor Kumar 
97,Chidiya Choon Choon Karti Hai,Jyoti,1981,Bappi Lahiri,Solo,Male ,Kishor Kumar 
98,Chil Chil Chilla Ke,Half Ticket,1962,Salil Chaudhari,Solo,Male ,Kishor Kumar 
99,Chingari Koi Bhadke,Amar Prem,1971,R D Barman,Solo,Male ,Kishor Kumar 
100,Choodi Nahin Ye Mera Dil,Gambler,1971,S D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
101,Chookar Mere Mann Ko,Yaarana,1981,Rajesh Roshan,Solo,Male ,Kishor Kumar 
102,Dil Kya Chahe,Sanjog,1985,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
103,Chor Tera Naam Hai,Jigar,1984,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
104,Chori Chori Chupke Chupke,Bullet,1976,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
105,Chori Chori Yoon Jab,Papki Duniya,1988,Bappi Lahiri,Solo,Male ,Kishor Kumar 
106,Chori Mera Kaam,Chori Mera Kaam,1975,Kalyanji Anandji,Duet,Male& Female,Kishor Kumar&Asha Bhosale
107,Chot Lagi Kahan Yahaan,Ghar Sansar,1986,Rajesh Roshan,Duet,Male& Female,Kishor Kumar&Asha Bhosale
108,College Girl I Love You,College Girl,1978,Bappi Lahiri,Solo,Male ,Kishor Kumar 
109,Chupke Se Dil Dede,Maryada,1971,Kalyanji Anandji,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
110,Daakiyaa Daak Layaa,Palkon Ki Chhaon Mein,1977,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar&Vandana Shastri
111,Daal Kaise Gale,Baap Re Baap,1955,O P Nayyar,Solo,Male ,Kishor Kumar 
112,Daal Roti Khao Prabhu Ke Gun Gaao,Jawar Bhata,1973,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
113,Dil Sachaa Aur Chehra Jhutha,Sachaa Jhoota,1970,Kalyanji Anandji,Solo,Male,Kishor Kumar 
114,Dariya Kinare Ek Bungla,Sabase bada Rupaiya,1976,Basu Manohari,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
115,Dariya Mein Jahaz Chale,Shan,1980,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale&Usha Mangeshkar
116,Dariya Mein Phenk Do Chabi,Aas Paas,1980,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
117,Daru Kharab,Guru,1989,Bappi Lahiri,Solo,Male ,Kishor Kumar 
118,Daru Ki Botol Mein,Majboor,1974,Laxmikant Pyarelal,Solo,Male ,Kishor Kumar 
119,De Bhi Chuke Hum Dil Nazrana,Jaal,1952,S D Barman,Duet,Male& Female,Kishor Kumar& Geeta Dutt
120,De Daru,Karma,1986,Laxmikant Pyarelal,Duet,Male,Kishor Kumar&Mahendra Kapur& Manahar Udhas
121,De De Pyaar De ,Sharabi,1984,Bappi Lahiri,Solo,Male ,Kishor Kumar 
122,Deep Diwali Ke Jhuthe,Jugnu,1973,S D Barman,Duet,Male& Female,Kishor Kumar& Sushma Shresth&Poornima
123,Deewana Kar Ke Chhodoge,Mere Jivan Sathi,1972,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
124,Deewana Leke Aaya Hai,Mere Jivan Sathi,1972,R D Barman,Solo,Male ,Kishor Kumar 
125,Dekh Aasman Mein,Shararat,1959,Shankar Jaikishan,Duet,Male& Female,Kishor Kumar& Geeta Dutt
126,Dekh Sakta Hoon -,Majboor,1974,Laxmikant Pyarelal,Solo,Male ,Kishor Kumar 
127,Dekha Ek Khwab,Silsila,1981,Shiv Hari,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
128,Dekha Hai Tumhe,Chorni,1982,Shankar Jaikishan,Solo,Male ,Kishor Kumar 
129,Dekha Hai Zindagi Ko,ek Mahal Ho Sapanon Ka,1975,Ravi,Solo,Male ,Kishor Kumar 
130,Dekha Na Haye Re,Bombay To Goa,1972,R D Barman,Solo,Male ,Kishor Kumar 
131,Dekhe Tujhe Jo Dekhe,Dial 100,1982,Bappi Lahiri,Solo,Male ,Kishor Kumar 
132,Dekho Dekhoji,Naujawan,1951,S D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
133,Dekho Hum Donon Ki Yari,Double Cross,1973,R D Barman,Duet,Male,Kishor Kumar& Bhupindar Singh
134,Dekho Idhar Dekho,Phir Wahi Raat,1980,R D Barman,Duet,Male& Female,Kishor Kumar& Aasha Bhosale& Sushma Shresth&Poornima
135,Dekho Idhar Janabe Man,Jabardast,1985,R D Barman,Solo,Male ,Kishor Kumar 
136,Dekho Idhar Jano Jigar,Boxer,1984,R D Barman,Solo,Male ,Kishor Kumar 
137,Dekho Mera Janaja Nikla,Mar Mitenge,1988,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Anuradha Paudwal
138,Dekho O Diwano,Hare Ram Hare Krishna,1971,R D Barman,Solo,Male ,Kishor Kumar 
139,Dil Se Dil Milne Ka,Chartraheen,1974,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
140,Dekho Veer Jawano,Aakraman,1975,Laxmikant Pyarelal,Solo,Male ,Kishor Kumar 
141,Dekho Yeh Mere Bandhe Haath,Bandhe Haath,1973,R D Barman,Solo,Male ,Kishor Kumar 
142,Dekhta Hoon Koi Ladki Haseen,Sanam Teri Kasam,1982,R D Barman,Solo,Male,Kishor Kumar 
143,Des Chhudaye Bhes Chhudaye,Chacha Zindabad,1959,Madan Mohan,Solo,Male,Kishor Kumar 
144,Deva Ho Deva,Ilaaka,1989,Nadim Shravan,Duet,Male& Female,Kishor Kumar&Asha Bhosale
145,Devi O Baby Tu Banja,Maqsad,1984,Kalyanji Anandji,Solo,Male,Kishor Kumar 
146,Devta Mana Aur Pooja,Albela,1971,Shankar Jaikishan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
147,Dhal Gayi Rang Mein Teri,Hiralal Pannalal,1978,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
148,Dheere Dheere Naach,Bhola Bhala,1978,R D Barman,Solo,Male,Kishor Kumar 
149,Dhoondha Tujhe Lakhon Me,Putalibai,1971,Jai Kumar,Solo,Male,Kishor Kumar 
